Pipeline Name,Pipeline Start Node,Hits,Total Time,Average Time,Minimum Time,Maximum Time
HeaderMenu,BackLink,339,518,1,0,114
DataLayer,Basket,19695,277529,14,3,2469
COBilling,BillingForm,130,63864,491,129,3020
Include,Content,1,41,41,41,41
DataLayer,Customer,19558,157781,8,3,355
RedirectURL,DirectToLocation,1,149,149,149,149
OnSession,Do,5601,24984,4,2,70
OnRequest,Do,22173,40939,1,0,472
AddressDoctor,FindAddressAjax,138,31377,227,1,3434
COInStoreCollection,GetDeliveryDateByQOS,68,84291,1239,56,4915
Utilities,GetYear,1,98,98,98,98
HeaderMenu,HeaderMenuGeorge,14,9167,654,169,3683
Page,Include,37890,36607,0,0,324
Product,LastVisited,339,6396,18,9,128
Product,LastVisitedMini,94,2540,27,9,553
Login,LoginForm,15,2160,144,37,1389
Login,Logout,62,1022,16,9,238
Cart,MiniAddProducts,315,105736,335,151,5989
Cart,MiniCartGeorge,316,14686,46,23,303
Cart,MiniCartSummary,309,8006,25,11,161
PRODScheduledTasks,ProdImportOrderStatusUpdate,12,44343,3695,2569,5196
DataLayer,Product,220,2246,10,4,162
Product,Recommendations,218,7441,34,12,716
__SYSTEM__Slot,Render,57851,153036,2,0,409
__SYSTEM__Slot,Request,4174,41785,10,0,1054
COWhere,SelectAddressInteractive,275,244295,888,120,6047
DataLayer,Session,19695,145215,7,3,123
COShipping,ShippingMethodsForm,130,70833,544,409,3784
ProcessPowerReviewsFeed_523123,Start,1,4,4,4,4
Search,Show,694,1399618,2016,52,45319
Login,Show,77,3157,41,14,917
Product,Show,221,255339,1155,222,9080
Cart,Show,178,48112,270,55,3413
Page,Show,3,363,121,56,244
HeaderTopLine,ShowGreeting,316,472,1,0,99
Product,ShowMini,19352,2879410,148,16,9045
Prefix,Start,140271,170678,1,0,375
TaskController,Start,12,47588,3965,652,5889
Error,Start,4,483,120,28,394
ProcessPowerReviewsFeed_52,Start,1,4,4,4,4
Header,StartGeorge,347,11219,32,9,1663
Header,StartHeaderGeorge,18815,31796,1,0,116
Header,StartMyAccount,2,671,335,251,420
Cart,SubmitForm1,158,37724,238,34,1578
Customer,SubmitForm2,15,613390,40892,40448,45147
COSummary,SummaryForm,125,1071046,8568,5661,31414
COCustomer,Welcome,145,1344198,9270,238,20863
COCustomer233,Welcome,145,1344198,9270,238,20863
