Pipeline Name,Pipeline Start Node,Hits,Total Time,Average Time,Minimum Time,Maximum Time
HeaderMenu,BackLink,348,534,1,0,102
DataLayer,Basket,19685,301364,15,3,9795
COBilling,BillingForm,124,70379,567,157,3073
Include,Content,1,18,18,18,18
DataLayer,Customer,19557,155894,7,3,114
RedirectURL,DirectToLocation,1,104,104,104,104
OnSession,Do,5568,24767,4,2,93
OnRequest,Do,22176,40352,1,0,161
AddressDoctor,FindAddressAjax,142,25007,176,0,496
COInStoreCollection,GetDeliveryDateByQOS,65,91164,1402,62,5126
Search,GetSuggestions,12,2545,212,19,448
Product,GetVariantsJson,1,403,403,403,403
Utilities,GetYear,1,97,97,97,97
HeaderMenu,HeaderMenu,1,6002,6002,6002,6002
HeaderMenu,HeaderMenuGeorge,15,9814,654,177,2770
Page,Include,37895,36525,0,0,279
Product,LastVisited,349,6536,18,7,114
Product,LastVisitedMini,92,2338,25,10,463
Login,LoginForm,15,1976,131,32,945
Login,Logout,65,994,15,7,181
Cart,MiniAddProducts,315,82621,262,146,2366
Cart,MiniCartGeorge,326,15519,47,25,435
Cart,MiniCartSummary,308,7719,25,10,126
Cart,MiniCartSummaryGeorge,1,27,27,27,27
PRODScheduledTasks,ProdImportOrderStatusUpdate,13,50909,3916,3050,4241
DataLayer,Product,232,2695,11,4,173
Utilities,ProductPricePence,7,121,17,0,110
Utilities,ProductPricePounds,7,234,33,0,159
Utilities,ProductWasPrice,6,332,55,1,138
Product,Recommendations,230,7083,30,12,217
__SYSTEM__Slot,Render,57763,152642,2,0,519
__SYSTEM__Slot,Request,2853,27530,9,0,321
COWhere,SelectAddressInteractive,280,256499,916,118,6224
DataLayer,Session,19685,145316,7,3,369
COShipping,ShippingMethodsForm,128,70279,549,398,2924
Search,Show,919,1435690,1562,54,40200
Login,Show,80,3222,40,11,886
Product,Show,280,338701,1209,262,15683
Cart,Show,174,46240,265,65,2785
Page,Show,2,319,159,46,273
HeaderTopLine,ShowGreeting,326,471,1,0,92
Search,ShowHomepageProducts,1,139,139,139,139
Product,ShowMini,19688,2545488,129,16,8396
Prefix,Start,140636,175340,1,0,7353
TaskController,Start,12,50249,4187,998,6459
Error,Start,7,391,55,27,178
ProcessPowerReviewsFeed_52,Start,1,11,11,11,11
Default,Start,1,1242,1242,1242,1242
RedirectURL,Start,1,285,285,285,285
Header,StartGM,1,505,505,505,505
Header,StartGeorge,9,2083,231,16,1650
Header,StartHeaderGM,1,93,93,93,93
Header,StartHeaderGeorge,18817,38608,2,0,7354
Header,StartMyAccount,2,566,283,223,343
Cart,SubmitForm1,156,34028,218,22,1063
Customer,SubmitForm2,15,610958,40730,40490,42244
COSummary,SummaryForm,123,1074932,8739,111,31869
COCustomer,Welcome,146,1366596,9360,210,21422
